phase,api,version,status,source_url,download_url,destination,error
fase-3,dynamic-fields,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/dynamic-fields.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/dynamic-fields.yaml,open-insurance-apis\fase-3\dynamic-fields\2.0.0\dynamic-fields.yaml,
fase-3,dynamic-fields,1.5.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/dynamic-fields.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/dynamic-fields.yaml,open-insurance-apis\fase-3\dynamic-fields\1.5.0\dynamic-fields.yaml,
fase-3,dynamic-fields,1.4.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/49fa8985df85829f67032d55db4ab806db7b3418/documentation/source/files/swagger/dynamic-fields.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/49fa8985df85829f67032d55db4ab806db7b3418/documentation/source/files/swagger/dynamic-fields.yaml,open-insurance-apis\fase-3\dynamic-fields\1.4.0\dynamic-fields.yaml,
fase-3,dynamic-fields,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/27d1ee50a4b59fa5c6b67c3a709e3dfdfbe947b0/documentation/source/files/swagger/dynamic-fields.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/27d1ee50a4b59fa5c6b67c3a709e3dfdfbe947b0/documentation/source/files/swagger/dynamic-fields.yaml,open-insurance-apis\fase-3\dynamic-fields\1.3.0\dynamic-fields.yaml,
fase-3,dynamic-fields,1.1.2,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/cafa22ac1e5f164662c8eea254ce69ad12bd1e5c/documentation/source/files/swagger/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/cafa22ac1e5f164662c8eea254ce69ad12bd1e5c/documentation/source/files/swagger/claim-notification.yaml,open-insurance-apis\fase-3\dynamic-fields\1.1.2\claim-notification.yaml,
fase-3,dynamic-fields,1.1.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/5bf27abe574bb67e4da2b71118a5140d3f01afe7/documentation/source/files/swagger/dynamic-fields.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/5bf27abe574bb67e4da2b71118a5140d3f01afe7/documentation/source/files/swagger/dynamic-fields.yaml,open-insurance-apis\fase-3\dynamic-fields\1.1.1\dynamic-fields.yaml,
fase-3,dynamic-fields,1.1.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/0f7c32d40d75e52f024db203762e98f340df7c13/documentation/source/files/swagger/notifications.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/0f7c32d40d75e52f024db203762e98f340df7c13/documentation/source/files/swagger/notifications.yaml,open-insurance-apis\fase-3\dynamic-fields\1.1.0\notifications.yaml,
fase-3,endorsement,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/endorsement.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/endorsement.yaml,open-insurance-apis\fase-3\endorsement\2.0.0\endorsement.yaml,
fase-3,endorsement,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/endorsement.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/endorsement.yaml,open-insurance-apis\fase-3\endorsement\1.3.0\endorsement.yaml,
fase-3,endorsement,1.2.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/2f76347b669236ab39c184b68d6e154148f69685/documentation/source/files/swagger/endorsement.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/2f76347b669236ab39c184b68d6e154148f69685/documentation/source/files/swagger/endorsement.yaml,open-insurance-apis\fase-3\endorsement\1.2.0\endorsement.yaml,
fase-3,endorsement,1.1.3,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/449ed881d56e2340ddda4d87fbfe4b365accf5c2/documentation/source/files/swagger/endorsement.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/449ed881d56e2340ddda4d87fbfe4b365accf5c2/documentation/source/files/swagger/endorsement.yaml,open-insurance-apis\fase-3\endorsement\1.1.3\endorsement.yaml,
fase-3,endorsement,1.1.2,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/ae7f4be3a65a24fc740f64777fbb3a99bbd96dd4/documentation/source/files/swagger/endorsement.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/ae7f4be3a65a24fc740f64777fbb3a99bbd96dd4/documentation/source/files/swagger/endorsement.yaml,open-insurance-apis\fase-3\endorsement\1.1.2\endorsement.yaml,
fase-3,notifications,1.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/0f7c32d40d75e52f024db203762e98f340df7c13/documentation/source/files/swagger/notifications.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/0f7c32d40d75e52f024db203762e98f340df7c13/documentation/source/files/swagger/notifications.yaml,open-insurance-apis\fase-3\notifications\1.0.0\notifications.yaml,
fase-3,pessoas-contratacao,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/quote-person.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/quote-person.yaml,open-insurance-apis\fase-3\pessoas-contratacao\2.0.0\quote-person.yaml,
fase-3,pessoas-contratacao,1.11.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/quote-person.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/quote-person.yaml,open-insurance-apis\fase-3\pessoas-contratacao\1.11.0\quote-person.yaml,
fase-3,pessoas-contratacao,1.10.2,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-person.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-person.yaml,open-insurance-apis\fase-3\pessoas-contratacao\1.10.2\quote-person.yaml,
fase-3,pessoas-contratacao,1.10.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/9213dfb0dbe02b4bdc0141f4e3213eb1495d6615/documentation/source/files/swagger/quote-person.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/9213dfb0dbe02b4bdc0141f4e3213eb1495d6615/documentation/source/files/swagger/quote-person.yaml,open-insurance-apis\fase-3\pessoas-contratacao\1.10.1\quote-person.yaml,
fase-3,pessoas-contratacao,1.10.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-person.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-person.yaml,open-insurance-apis\fase-3\pessoas-contratacao\1.10.0\quote-person.yaml,
fase-3,previdencia-contratacao-e-portabilidade,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/quote-life-pension.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/quote-life-pension.yaml,open-insurance-apis\fase-3\previdencia-contratacao-e-portabilidade\2.0.0\quote-life-pension.yaml,
fase-3,previdencia-contratacao-e-portabilidade,1.13.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/quote-life-pension.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/quote-life-pension.yaml,open-insurance-apis\fase-3\previdencia-contratacao-e-portabilidade\1.13.0\quote-life-pension.yaml,
fase-3,previdencia-contratacao-e-portabilidade,1.12.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-life-pension.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-life-pension.yaml,open-insurance-apis\fase-3\previdencia-contratacao-e-portabilidade\1.12.1\quote-life-pension.yaml,
fase-3,previdencia-contratacao-e-portabilidade,1.12.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-life-pension.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-life-pension.yaml,open-insurance-apis\fase-3\previdencia-contratacao-e-portabilidade\1.12.0\quote-life-pension.yaml,
fase-3,previdencia-contratacao-e-portabilidade,1.11.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/refs/heads/feature/task-SP-393/documentation/source/files/swagger/quote-life-pension.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/refs/heads/feature/task-SP-393/documentation/source/files/swagger/quote-life-pension.yaml,open-insurance-apis\fase-3\previdencia-contratacao-e-portabilidade\1.11.1\quote-life-pension.yaml,
fase-3,quote-acceptance-and-branches-abroad,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/quote-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/quote-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-3\quote-acceptance-and-branches-abroad\2.0.0\quote-acceptance-and-branches-abroad.yaml,
